Nom de l'organisation,"Type (Association, Groupe informel, Entreprise ou Service public)",Type de lieu,Rue,Code postal,Ville,Code pays,Tag 1,Tag 2,Tag 3,Site web,Description courte,Description longue,Email,Fixe,Mobile,Contact : nom,Contact : email,Contact : téléphone,Contact : rôle,Latitude,Longitude,Lundi,Ouverture matin (ou journée continue) lundi,Fermeture matin lundi,Ouverture après-midi (sauf si une seule tranche horaire) lundi,Fermeture après-midi lundi,Mardi,Ouverture matin (ou journée continue) mardi,Fermeture matin mardi,Ouverture après-midi (sauf si une seule tranche horaire) mardi,Fermeture après-midi mardi,Mercredi,Ouverture matin (ou journée continue) mercredi,Fermeture matin mercredi,Ouverture après-midi (sauf si une seule tranche horaire) mercredi,Fermeture après-midi mercredi,Jeudi,Ouverture matin (ou journée continue) jeudi,Fermeture matin jeudi,Ouverture après-midi (sauf si une seule tranche horaire) jeudi,Fermeture après-midi jeudi,Vendredi,Ouverture matin (ou journée continue) vendredi,Fermeture matin vendredi,Ouverture après-midi (sauf si une seule tranche horaire) vendredi,Fermeture après-midi vendredi,Samedi,Ouverture matin (ou journée continue) samedi,Fermeture matin samedi,Ouverture après-midi (sauf si une seule tranche horaire) samedi,Fermeture après-midi samedi,Dimanche,Ouverture matin (ou journée continue) dimanche,Fermeture matin dimanche,Ouverture après-midi (sauf si une seule tranche horaire) dimanche,Fermeture après-midi dimanche,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Tag 37,Tag 38,Tag 39,Tag 40,Tag 41,Tag 42,Tag 43,Tag 44,Tag 45,Tag 46,Tag 47,Tag 48,Tag 49,Tag 50,Tag 51,null/0,null/1,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
Association Avirons Jeunes Cybercase « case à lire »,Association,Espace Public Numérique autre,4 Impasse Bois de Nèfles,97425,LES AVIRONS,RE,,,,,Association Avirons Jeunes,Association Avirons Jeunes Cybercase « case à lire »,avironsjeunes@wanadoo.fr ,+262 2 62 38 18 58,+262 692 07 64 71,CADAS Siméon,avironsjeunes@wanadoo.fr  ,+262 2 62 38 18 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.242266,55.330507,4 Impasse Bois de Nefles 97425 Les Avirons,0.9588963636363635,0.7086910873440284,housenumber,97401_0025_00004,4,4 Impasse Bois de Nefles,Impasse Bois de Nefles,97425,Les Avirons,"974, La Réunion",97401,,,,ok
Association du Développement des Hauts de St LEU,Association,Espace Public Numérique autre,221A, Rue Alexandre Bègue,97416,SAINT LEU,RE,,,,,Association du Développement des Hauts de St LEU,Association du Développement des Hauts de St LEU,association.adh@wanadoo.fr,+262 2 62  54 87 71,,,association.adh@wanadoo.fr,+262 2 62  54 87 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.151244,55.320411,221a Rue Alexandre Bègue 97416 Saint-Leu,0.9795518181818181,,housenumber,97413_0040_00221_a,221a,221a Rue Alexandre Bègue,Rue Alexandre Bègue,97416,Saint-Leu,"974, La Réunion",97413,,,,ok
Association Initiatives Kartiés,Association,Espace Public Numérique autre,Bat A Foirail,97424,SAINT LEU,RE,,,,,Association Initiatives Kartiés,Association Initiatives Kartiés,Initiatives-karties@orange.fr,+262 2 62 34 15 08 ,+262 6 92 30 28 00,INDIANA Georges-Henri ,Initiatives-karties@orange.fr,+262 2 62 34 15 08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.191148,55.302828,Rue Ambaville 97424 Saint-Leu,0.48944291866028705,0.47752587223587223,street,97413_0977,,Rue Ambaville,Rue Ambaville,97424,Saint-Leu,"974, La Réunion",97413,,,,ok
Association Krike,Association,Espace Public Numérique autre,46, rue Leconte Delisle,97480,SAINT JOSEPH,RE,,,,,Association Krike,Association Krike,krike.reunion@gmail.com,,,MARCOURT Jacques,krike.reunion@gmail.com,+262 2 62 92 31 27,,,,Mo,08:30,12:00,,,Tu,08:30,12:00,,,,,,,,Th,08:30,12:00,,,Fr,08:30,12:00,,,,,,,,,,,,,Connaître les usages,Découvrir l’univers des jeux vidéos,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser Internet,Naviguer sur le web,S’approprier un équipement numérique,Classer et partager ses photos,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Surfer librement sur internet,Gérer ses emails,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Découvrir et utiliser l’emploi Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.37496,55.621089,46 Rue Leconte de Lisle 97480 Saint-Joseph,0.8843742946708464,0.7503197178683384,housenumber,97412_0930_00046,46,46 Rue Leconte de Lisle,Rue Leconte de Lisle,97480,Saint-Joseph,"974, La Réunion",97412,,,,ok
Association Jeunesse En pleine action,Association,Espace Public Numérique autre,206 CD 53 Cambourg,97437,SAINTE ANNE,RE,,,,,Association Jeunesse En pleine action,Association Jeunesse En pleine action,association.jpac@gmail.com,+262 2 62 51 18 97,,,association.jpac@gmail.com,+262 2 62 51 18 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.114793,55.730281,Cambourg (ste Anne) 97437 Saint-Benoît,0.5510195959595959,0.5128236363636364,street,97410_B140,,Cambourg (ste Anne),Cambourg (ste Anne),97437,Saint-Benoît,"974, La Réunion",97410,,,,ok
Association Liaison,Association,Espace Public Numérique autre,40, Rue J Jaurès,97420,LE PORT ,RE,,,,,Association liaison,Association liaison,liaison.association@hotmail.com,+262 2 62 43 16 15,,,liaison.association@hotmail.com,+262 2 62 43 16 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.938538,55.30588,40 Rue Jean Jaurès 97420 Le Port,0.7765742424242423,0.5020068058968059,housenumber,97407_0268_00040,40,40 Rue Jean Jaurès,Rue Jean Jaurès,97420,Le Port,"974, La Réunion",97407,,,,ok
Association Lire Dire Ecrire,Association,Organisme de formation,N°7 rue des Frères,97414,ENTRE DEUX,RE,,,,associationliredireecrire.com,Association Lire Dire Ecrire,Association Lire Dire Ecrire,assoliredireecrire@gmail.com,,,HENRY Séverine,assoliredireecrire@gmail.com,+262 2 62 39 68 78,,,,Mo,08:00,12:00,13:00,17:00,Tu,08:00,12:00,13:00,17:00,We,08:00,12:00,13:00,17:00,Th,08:00,12:00,13:00,17:00,Fr,08:00,12:00,13:00,17:00,Sa,08:00,12:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Communiquer et échanger sur Internet,Paramétrer un compte email,Connaître les outils du cloud,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Faire des diaporamas,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,,,,,,,,"""",,,,,,,,,-21.247184,55.46925,Rue des Freres 97414 Entre-Deux,0.8071057575757575,0.463940303030303,street,97403_0230,,Rue des Freres,Rue des Freres,97414,Entre-Deux,"974, La Réunion",97403,,,,ok
Association pour la jeunesse La Source Mission loc Nord,Association,Espace Public Numérique autre,33, Ruelle du couvent,97400,SAINT DENIS,RE,,,,https://www.missionlocalenord.re,Association pour la jeunesse La Source Mission loc Nord,Association pour la jeunesse La Source Mission loc Nord,emmanuel.mathieu@missionlocalenord.re,+262 2 62 30 30 29 ,,MATTHIEU Emmanuel,emmanuel.mathieu@missionlocalenord.re,+262 2 62 30 30 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.891766,55.449874,33 Ruelle du Couvent 97400 Saint-Denis,0.9688281818181818,0.7571690909090909,housenumber,97411_0370_00033,33,33 Ruelle du Couvent,Ruelle du Couvent,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
Association  Proximité de Quartier (APQ),Association,Espace Public Numérique autre,Res. ZAC Fayard-A9 Bât. D 271, Rue Evariste de Pamy ,97440,SAINT ANDRE,RE,,,,,Association  Proximité de Quartier (APQ),Association  Proximité de Quartier (APQ),ass.proxquartier974@gmail.com,+262 6 92 98 84 05,+262 6 92 44 80 03,,ass.proxquartier974@gmail.com,+262 6 92 98 84 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.943611,55.65912,271 Rue Evariste de Parny 97440 Saint-André,0.5188762809917354,,housenumber,97409_1954_00271,271,271 Rue Evariste de Parny,Rue Evariste de Parny,97440,Saint-André,"974, La Réunion",97409,,,,ok
Association S.E.N.T. ,Association,Fablab/Hackerspace,163 Route Gabriel Macé La Bretagne ,97490,SAINTE CLOTILDE,RE,,,,https://sent974.org,Association S.E.N.T. ,Association S.E.N.T. ,g.esparon@sent974.org,,,ESPARON GIANNI ,g.esparon@sent974.org,+262 6 93 81 28 00,,,,Mo,08:30,12:00,14:00,18:00,Tu,08:30,12:00,14:00,18:00,We,08:30,12:00,14:00,18:00,Th,08:30,12:00,14:00,18:00,Fr,08:30,12:00,14:00,18:00,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Découvrir l’univers des jeux vidéos,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Connaître les outils du cloud,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Utiliser et contribuer à Wikipedia,Utiliser outils cartographiques,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Retoucher ses photos,Découvrir le montage vidéo,Faire des diaporamas,Publier des diaporamas en ligne,Modélisation 3D,Utiliser imprimante 3D,Découvrir la programmation,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Utiliser un emplacement de co-working,Découvrir et utiliser l’emploi Store,Découvrir les métiers du numérique,,,-20.91947,55.494251,163 Route Gabriel Mace 97490 Saint-Denis,0.5919533333333332,0.37538832535885164,housenumber,97411_0556_00163,163,163 Route Gabriel Mace,Route Gabriel Mace,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
Association Solidarité Sainte Thérèse,Association,Espace Public Numérique autre,69, Rue Désiré Barquisseau ,97410,SAINT PIERRE,RE,,,,https://asst97410.weebly.com,Association Solidarité Sainte Thérèse,Association Solidarité Sainte Thérèse,sainte.therese@gmail.com,+262 2 62 91 75 79 ,,HOAREAU Alain,sainte.therese@gmail.com,+262 6 93 90 99 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.339066,55.476696,69 Rue Desire Barquisseau 97410 Saint-Pierre,0.9748118181818181,,housenumber,97416_0100_00069,69,69 Rue Desire Barquisseau,Rue Desire Barquisseau,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
Association VIEN A ZOT,Association,Espace Public Numérique autre,Case du Piton 1 Rue du stade,97424,SAINT LEU,RE,,,,,Association VIEN A ZOT,Association VIEN A ZOT,association.vaz@orange.fr,+262 2 62 34 35 10 ,,,association.vaz@orange.fr,+262 2 62 34 35 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.217093,55.307855,1 Rue du Stade 97424 Saint-Leu,0.6629560042283298,0.5337520408163265,housenumber,97413_e4cf7s_00001,1,1 Rue du Stade,Rue du Stade,97424,Saint-Leu,"974, La Réunion",97413,,,,ok
Associatrion Réunionnaise D’Education Populaire,Association,Espace Public Numérique autre,627 rue de la Gare local 3,97440,SAINT ANDRE,RE,,,,,Associatrion Réunionnaise D’Education Populaire,Associatrion Réunionnaise D’Education Populaire,leon.sophie@arep.re,+262 2 62 73 49 91,,,arep.jocelyneguichard@yahoo.fr,+262 2 62 73 49 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.960465,55.655391,627 Rue de la Gare 97440 Saint-André,0.8095068076109936,0.5682576437847865,housenumber,97409_0810_00627,627,627 Rue de la Gare,Rue de la Gare,97440,Saint-André,"974, La Réunion",97409,,,,ok
Bibliothèque rivière des galets,Association,Espace Public Numérique autre,5, Rue Louise Michel,97420,LE PORT,RE,,,,,Bibliothèque rivière des galets,Bibliothèque rivière des galets,mediatheque@ville-port.re,+262 2 62 43 02 42,,REMILIE Nadège,mediatheque@ville-port.re,+262 2 62 43 02 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.962696,55.320293,5 Rue Louise Michel 97420 Le Port,0.9687399999999999,0.8267507692307692,housenumber,97407_0882_00005,5,5 Rue Louise Michel,Rue Louise Michel,97420,Le Port,"974, La Réunion",97407,,,,ok
Case à lire St LEU – MIO,Association,Espace Public Numérique autre,267 Rue Gal LAMBERT,97424,SAINT LEU,RE,,,,,Case à lire St LEU – MIO,Case à lire St LEU – MIO,dejean.fred@mio.re,+262 2 62 34 84 34,,DEJEAN Fred,dejean.fred@mio.re,+262 2 62 34 84 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.174396,55.28818,267 rue du général lambert 97436 Saint-Leu,0.6747842424242423,0.5266810101010101,housenumber,97413_0500_00267,267,267 rue du général lambert,rue du général lambert,97436,Saint-Leu,"974, La Réunion",97413,,,,ok
CCAS Bras Panon,Association,Espace Public Numérique autre,8, Place Michel Debré,97412,BRAS PANON,RE,,,,,CCAS ,CCAS Bras Panon,steven.bamba@braspanon.re ,+262 2 62 51 26 56 ,,BAMBA Steven,cesf@braspanon.re,+262 2 62 51 26 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.994271,55.676329,8 Place Michel Debré 97412 Bras-Panon,0.9581990909090908,,housenumber,97402_0410_00008,8,8 Place Michel Debré,Place Michel Debré,97412,Bras-Panon,"974, La Réunion",97402,,,,ok
CCAS Cilaos,Association,Espace Public Numérique autre,66, Rue du père Boiteau,97413,CILAOS,RE,,,,,CCAS Cilaos,CCAS Cilaos,ccas@ville-cilaos.fr ,+262 2 62 31 89 89 ,,GRONDIN FAIZA, fgrondin@ville-cilaos.fr,+262 2 62 31 89 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.134817,55.4709,66 Rue du Père Boiteau 97413 Cilaos,0.9644572727272726,,housenumber,97424_0230_00066,66,66 Rue du Père Boiteau,Rue du Père Boiteau,97413,Cilaos,"974, La Réunion",97424,,,,ok
CCAS Entre-Deux,Association,Espace Public Numérique autre,2, Rue Fortuné Hoareau,97414,ENTRE DEUX,RE,,,,,CCAS Entre-Deux,CCAS Entre-Deux,ccas@entredeux.re ,+262 2 62 39 50 50,,FRAIGNEUX Reine-Claire,reine-claire.fraigneux@wanadoo.fr,+262 2 62 39 50 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.248993,55.470197,2 Rue Fortune Hoarau 97414 Entre-Deux,0.8601262626262626,0.6241739393939394,housenumber,97403_0280_00002,2,2 Rue Fortune Hoarau,Rue Fortune Hoarau,97414,Entre-Deux,"974, La Réunion",97403,,,,ok
CCAS Etang salé,Association,Espace Public Numérique autre,1 Allée des basses Dunes BP 903,97427,L ETANG SALE,RE,,,,,CCAS Etang salé,CCAS Etang salé,ccas@letangsale.fr ,+262 2 62 91 45 66,,SAVIGNY Patrice,patrice.savigny@letangsale.fr,+262 2 62 91 45 68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.266439,55.368521,1 Rue des Basses Dunes 97427 L'Étang-Salé,0.6991886013986014,,housenumber,97404_c275kh_00001,1,1 Rue des Basses Dunes,Rue des Basses Dunes,97427,L'Étang-Salé,"974, La Réunion",97404,,,,ok
CCAS La Plaine des Palmistes,Association,Espace Public Numérique autre,230 Rue de la République,97431,PLAINE DES PALMISTES,RE,,,,,CCAS La Plaine des Palmistes,CCAS La Plaine des Palmistes,mairie@plaine-des-palmistes.fr,+262 2 62 51 49 10,,MARIANNE Marie-Anick,marie-annick.marianne@plain-des-palmistes.fr / ,+262 2 62 51 37 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.135277,55.625941,230 Rue de la République 97431 La Plaine-des-Palmistes,0.9198665694682675,,housenumber,97406_0430_00230,230,230 Rue de la République,Rue de la République,97431,La Plaine-des-Palmistes,"974, La Réunion",97406,,,,ok
CCAS La Possession,Association,Espace Public Numérique autre,rue Waldeck Rochet BP 92,97419,LA POSSESSION,RE,,,,,CCAS La Possession,CCAS La Possession,accueilccas@lapossession.re,+262 2 62 71 10 90 ,+262 6 92 20 03 04,WLODY Nadine,nwlody@lapossession.re,+262 2 62 71 10 90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.926748,55.335821,Rue Waldeck Rochet 97419 La Possession,0.8358855602536996,,street,97408_0395,,Rue Waldeck Rochet,Rue Waldeck Rochet,97419,La Possession,"974, La Réunion",97408,,,,ok
CCAS Le Port,Association,Espace Public Numérique autre,Rue de la Douane BP 62004,97420,LE PORT,RE,,,,,CCAS ,CCAS Le Port,contact@ville-port.re,+262 2 62 55 10 80 ,,DRULE Jessica,Jessica.drule@ville-port.re,+262 2 62 55 10 80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.935138,55.290925,Rue de la Douane 97420 Le Port,0.7410199043062201,,street,97407_0150,,Rue de la Douane,Rue de la Douane,97420,Le Port,"974, La Réunion",97407,,,,ok
CCAS Le Tampon,Association,Espace Public Numérique autre,256 Rue Hubert Delisle BP 300 ,97430,LE TAMPON,RE,,,,,CCAS Le Tampon,CCAS Le Tampon,courrier@ccas-tampon.fr,+262 2 62 57 86 28 ,,CHANE TENG,chane.teng@ccas-tampon.fr ,+262 2 62 57 84 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.275497,55.513628,Rue Hubert Delisle 97430 Le Tampon,0.7561336363636363,0.5725976623376623,street,97422_1048,,Rue Hubert Delisle,Rue Hubert Delisle,97430,Le Tampon,"974, La Réunion",97422,,,,ok
CCAS Les Avirons,Association,Espace Public Numérique autre,61, avenue du Général de Gaulle – BP 2,97425,LES AVIRONS,RE,,,,,CCAS Les Avirons,CCAS Les Avirons,ccas@mairie-avirons.fr,+262 2 62 38 02 66,,,ccas@mairie-avirons.fr,+262 2 62 38 02 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.241895,55.333025,61 Avenue du Général de Gaulle 97425 Les Avirons,0.8554772727272727,,housenumber,97401_0127_00061,61,61 Avenue du Général de Gaulle,Avenue du Général de Gaulle,97425,Les Avirons,"974, La Réunion",97401,,,,ok
CCAS Petite Ile,Association,Espace Public Numérique autre,192 Rue Mahé de Lebourdonnais,97429,PETITE ILE,RE,,,,,CCAS Petite Ile,CCAS Petite Ile,hoareau.nadege@petite-ile.re,+262 2 62 56 79 53,,HOARAU Nadège,hoareau.nadege@petite-ile.re,+262 2 62 56 79 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.356247,55.565729,192 Rue Mahe de la Bourdonnais 97429 Petite-Île,0.8780484848484847,0.8169011218568665,housenumber,97405_l1isu7_00192,192,192 Rue Mahe de la Bourdonnais,Rue Mahe de la Bourdonnais,97429,Petite-Île,"974, La Réunion",97405,,,,ok
CCAS Saint André,Association,Espace Public Numérique autre,Place de la liberté BP 512,97440,SAINT ANDRE,RE,,,,,CCAS Saint André,CCAS Saint André,caritchy.eric@saint-andre.re,+262 2 62 46 39 39 ,,CARITCHY Eric,ccas@saint-andre.re ,+262 2 62 46 39 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.390487,-4.485169,place de la Liberté 29200 Brest,0.47770794466403155,0.4493553872053872,street,29019_3350,,place de la Liberté,place de la Liberté,29200,Brest,"29, Finistère, Bretagne",29019,,,,ok
CCAS Saint Benoit,Association,Espace Public Numérique autre,2 Rue Georges Pompidou,97470,SAINT BENOIT,RE,,,,,CCAS Saint Benoit,CCAS Saint Benoit,micheline.dijoux@ville-saintbenoit.re,+262 2 62  50 88 24,+262 6 92 86 05 87,DIJOUX Micheline,micheline.dijoux@ville-saintbenoit.re,+262 2 62  50 88 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.034821,55.714318,2 Rue Georges Pompidou 97470 Saint-Benoît,0.9731918181818181,,housenumber,97410_0684_00002,2,2 Rue Georges Pompidou,Rue Georges Pompidou,97470,Saint-Benoît,"974, La Réunion",97410,,,,ok
CCAS Saint Denis,Association,Espace Public Numérique autre,1, Rue Pasteur,97400,SAINT DENIS,RE,,,,,CCAS Saint Denis,CCAS Saint Denis,s.labedan@saintdenis.re,+262 2 62 40 04 11,,LAUDE Daniel,d.laude@saintdenis.re,+262 2 62 20 35 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.879549,55.448128,1 Rue Pasteur 97400 Saint-Denis,0.9810763636363635,,housenumber,97411_1080_00001,1,1 Rue Pasteur,Rue Pasteur,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
CCAS Saint Joseph,Association,Espace Public Numérique autre,2, Rue Paul Demange BP27,97480,SAINT JOSEPH,RE,,,,,CCAS Saint Joseph,CCAS Saint Joseph,cindy.rolland@ccas.saintjoseph.re ,+262 2 62 93 17 30,,ROLLAND Cindy,,daniel.hoareau@ccas.saintjoseph.re,+262 2 62 93 17 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.378043,55.621878,2 Rue Paul Demange 97480 Saint-Joseph,0.8067377922077922,,housenumber,97412_1110_00002,2,2 Rue Paul Demange,Rue Paul Demange,97480,Saint-Joseph,"974, La Réunion",97412,,,,ok
CCAS Saint Leu,Association,Espace Public Numérique autre,Hôtel de ville 58 Rue du Gal LAMBERT BP1004,97436,SAINT LEU,RE,,,,,CCAS Saint Leu,CCAS Saint Leu,secretariat.ccas@mairie-saintleu.fr,+262 2 62 34 25 25 ,,DENNEMONT Jacques,jacques.dennemont@mairie-saintleu.fr,+262 2 62 54 76 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.166228,55.286884,58 rue du général lambert 97436 Saint-Leu,0.5737741414141414,,housenumber,97413_0500_00058,58,58 rue du général lambert,rue du général lambert,97436,Saint-Leu,"974, La Réunion",97413,,,,ok
CCAS Saint Louis,Association,Espace Public Numérique autre,5, Rue Victor Hugo CS 41006,97450,SAINT LOUIS,RE,,,,,CCAS Saint Louis,CCAS Saint Louis,l.denoyelle@ccas-stlouis.fr ,+262 2 62 33 17 92,,GOVINDIN Patrick,pgovindin@mairie-saint-louis.re,+262 2 62 44 44 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.281825,55.413217,5 Rue Victor Hugo 97450 Saint-Louis,0.7071776539589443,,housenumber,97414_1400_00005,5,5 Rue Victor Hugo,Rue Victor Hugo,97450,Saint-Louis,"974, La Réunion",97414,,,,ok
CCAS Saint Paul,Association,Espace Public Numérique autre,19, Rue evariste de Parny,97460,SAINT PAUL,RE,,,,,CCAS Saint Paul,CCAS Saint Paul,ccas@mairie-saintpaul.fr,+262 2 62 76 45 45 ,,LEBON Claudine,claudine.lebon@mairie-saintpaul.fr,+262 2 62 76 45 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.008254,55.270855,19 Rue Evariste de Parny 97460 Saint-Paul,0.9803,,housenumber,97415_0580_00019,19,19 Rue Evariste de Parny,Rue Evariste de Parny,97460,Saint-Paul,"974, La Réunion",97415,,,,ok
